id,key,value,type
31551114,name,Las Vegas,regular
31551114,is_in,Nevada,regular
31551114,place,city,regular
31551114,ar,لاس فيغاس,name
31551114,bn,লাস ভেগাস,name
31551114,fa,لاس وگاس,name
31551114,he,לאס וגאס,name
31551114,hy,Լաս Վեգաս,name
31551114,ja,ラスベガス,name
31551114,ka,ლას-ვეგასი,name
31551114,ko,라스베이거스,name
31551114,ml,ലാസ് വെഗാസ്,name
31551114,mr,लास व्हेगास,name
31551114,nv,Na'azhoosh hatsoh,name
31551114,ru,Лас-Вегас,name
31551114,sr,Лас Вегас,name
31551114,ta,லாஸ் வேகஸ்,name
31551114,te,లాస్ వెగాస్,name
31551114,ur,لاس ویگاس,name
31551114,yi,לאס וועגאס,name
31551114,zh,拉斯维加斯,name
31551114,wikidata,Q23768,regular
31551114,population,567641,regular
31551114,country,USA,is_in
31551114,continent,North America,is_in
137032473,highway,turning_circle,regular
137032733,highway,turning_circle,regular
137040434,power,tower,regular
137040454,power,tower,regular
137040471,power,tower,regular
137040492,power,tower,regular
137040515,power,tower,regular
137045231,power,tower,regular
137045261,power,tower,regular
137046443,ref,12A,regular
137046443,highway,motorway_junction,regular
137046443,old_ref,10A,regular
137048127,power,tower,regular
137048157,power,tower,regular
137049402,power,pole,regular
137049402,source,Bing,regular
137054181,ref,75,regular
137054181,highway,motorway_junction,regular
137058744,power,tower,regular
137061455,power,tower,regular
137061471,power,tower,regular
137067282,highway,turning_circle,regular
137067570,power,tower,regular
137068196,highway,motorway_junction,regular
137068196,ref,56B,regular
137070215,highway,turning_circle,regular
137072340,power,tower,regular
137072359,power,tower,regular
137081263,power,tower,regular
137081293,power,tower,regular
137081309,power,tower,regular
137081340,power,tower,regular
137083284,ref,82A,regular
137083284,highway,motorway_junction,regular
137083399,highway,motorway_junction,regular
137084278,power,tower,regular
137084290,power,tower,regular
137087575,power,tower,regular
137087602,power,tower,regular
137087619,power,tower,regular
137087634,power,tower,regular
137087649,power,tower,regular
137087664,power,tower,regular
137087674,power,tower,regular
137087684,power,tower,regular
137087702,power,tower,regular
137087715,power,tower,regular
137087739,power,tower,regular
137088892,highway,traffic_signals,regular
137088892,crossing,traffic_signals,regular
137092862,power,tower,regular
137092876,power,tower,regular
137092904,power,tower,regular
137092924,power,tower,regular
137092952,power,tower,regular
137106049,ref,50,regular
137106049,exit_to,Lamb Boulevard,regular
137106049,highway,motorway_junction,regular
137107021,power,tower,regular
137107040,power,tower,regular
137108673,railway,level_crossing,regular
137108673,bell,no,crossing
137108673,light,no,crossing
137108673,barrier,no,crossing
137112282,highway,motorway_junction,regular
137116511,ref,76B,regular
137116511,highway,motorway_junction,regular
137118913,ref,70,regular
137118913,highway,motorway_junction,regular
137120344,power,tower,regular
137120385,power,tower,regular
137123473,power,tower,regular
137123545,highway,motorway_junction,regular
137123545,ref,59,regular
137126253,highway,turning_circle,regular
137131858,power,tower,regular
137131875,power,tower,regular
137131930,power,tower,regular
137134149,highway,turning_circle,regular
137139186,source,Bing,regular
137139186,highway,turning_circle,regular
137140906,railway,level_crossing,regular
137140906,bell,no,crossing
137140906,light,no,crossing
137140906,barrier,no,crossing
137142950,power,tower,regular
137142974,power,tower,regular
137143022,highway,turning_circle,regular
137143638,power,tower,regular
137144865,highway,turning_circle,regular
137146228,railway,level_crossing,regular
137146228,bell,no,crossing
137146228,light,no,crossing
137146228,barrier,no,crossing
137147084,highway,turning_circle,regular
137148663,noexit,yes,regular
137148743,ref,58,regular
137148743,exit_to,NV-604;Apex:Nellis AFB,regular
137148743,highway,motorway_junction,regular
137151040,highway,motorway_junction,regular
137151040,left,I-515;US-93;US-95 South;Phoenix;Downtown Las Vegas,exit_to
137151040,right,US-95 North;Reno;Martin L King Boulevard,exit_to
137155444,power,tower,regular
137163243,railway,level_crossing,regular
137164379,source,Bing,regular
137164379,highway,turning_circle,regular
137165749,power,tower,regular
137165766,power,tower,regular
137166780,power,tower,regular
137167065,ref,80,regular
137167065,highway,motorway_junction,regular
137167455,source,Bing,regular
137167455,highway,turning_circle,regular
137171543,power,tower,regular
137172837,power,tower,regular
137176754,highway,turning_circle,regular
137183871,ref,54,regular
137183871,exit_to,Speedway Boulevard;Hollywood Boulevard,regular
137183871,highway,motorway_junction,regular
137184047,source,Bing,regular
137184047,highway,turning_circle,regular
137186152,highway,turning_circle,regular
137186263,source,Bing,regular
137186263,highway,traffic_signals,regular
137189699,highway,traffic_signals,regular
137189699,traffic_signals,signal,regular
137197880,name,Rocky Gap 4x4,regular
137197880,surface,unpaved,regular
137202448,ref,82,regular
137202448,highway,motorway_junction,regular
137209471,source,Bing,regular
137209471,highway,turning_circle,regular
137210553,power,portal,regular
137210568,power,tower,regular
137210736,ref,41,regular
137210736,exit_to,NV-159;Charleston Blvd,regular
137210736,highway,motorway_junction,regular
137212843,source,Bing,regular
137212843,highway,turning_circle,regular
137214209,power,tower,regular
137215903,power,tower,regular
137221009,highway,traffic_signals,regular
137222902,highway,turning_circle,regular
137223524,noexit,yes,regular
137224333,highway,turning_circle,regular
137224869,highway,turning_circle,regular
137225037,noexit,yes,regular
137225037,highway,turning_circle,regular
137227247,highway,turning_circle,regular
137227394,highway,turning_circle,regular
137228298,source,Bing,regular
137228298,highway,turning_circle,regular
137228942,source,Bing,regular
137228942,highway,turning_circle,regular
137229162,highway,turning_circle,regular
137230249,highway,turning_circle,regular
137230276,highway,turning_circle,regular
137230446,highway,turning_circle,regular
137230559,highway,turning_circle,regular
137231042,highway,turning_circle,regular
137231471,highway,turning_circle,regular
137231880,highway,turning_circle,regular
137232024,highway,turning_circle,regular
137234722,highway,traffic_signals,regular
137234722,traffic_signals,signal,regular
137235236,highway,turning_circle,regular
137235349,highway,crossing,regular
137237011,noexit,yes,regular
137237272,highway,turning_circle,regular
137238275,highway,turning_circle,regular
137238895,highway,turning_circle,regular
137239720,highway,turning_circle,regular
137240084,source,Bing,regular
137240084,highway,turning_circle,regular
137240267,highway,turning_circle,regular
137240632,source,Bing,regular
137240632,highway,turning_circle,regular
137240687,highway,turning_circle,regular
137240736,source,Bing,regular
137240736,highway,turning_circle,regular
137240832,highway,turning_circle,regular
137241899,source,Bing,regular
137241899,highway,turning_circle,regular
137242082,highway,turning_circle,regular
137242899,highway,turning_circle,regular
137243666,highway,turning_circle,regular
137243847,highway,turning_circle,regular
137244224,highway,turning_circle,regular
137244639,highway,turning_circle,regular
137246581,highway,turning_circle,regular
137247531,highway,traffic_signals,regular
137247531,traffic_signals,signal,regular
137247658,highway,traffic_signals,regular
137247658,traffic_signals,signal,regular
137247718,highway,traffic_signals,regular
137247718,traffic_signals,signal,regular
137248621,highway,turning_circle,regular
137249028,highway,traffic_signals,regular
137249606,noexit,yes,regular
137250540,highway,turning_circle,regular
137250962,source,Bing,regular
137250962,highway,turning_circle,regular
137251029,highway,turning_circle,regular
137251037,highway,turning_circle,regular
137252000,highway,turning_circle,regular
137252140,highway,turning_circle,regular
137253761,highway,turning_circle,regular
137253859,highway,turning_circle,regular
137254530,source,Yahoo,regular
137254530,highway,turning_circle,regular
137254580,highway,turning_circle,regular
137254598,highway,turning_circle,regular
