id,key,value,type
7149377,power,line,regular
7149377,wires,single,regular
7149377,cables,3,regular
7149377,voltage,230000,regular
14278339,name,Rollingwood Circle,regular
14278339,highway,residential,regular
14278339,cfcc,A41,tiger
14278339,county,"Clark, NV",tiger
14278339,reviewed,no,tiger
14278339,name_base,Rollingwood,tiger
14278339,name_type,Cir,tiger
14278350,name,Dallas,regular
14278350,highway,residential,regular
14278350,cfcc,A41,tiger
14278350,county,"Clark, NV",tiger
14278350,reviewed,no,tiger
14278350,name_base,Dallas,tiger
14278368,name,Catalina Marie Avenue,regular
14278368,highway,residential,regular
14278368,cfcc,A41,tiger
14278368,county,"Clark, NV",tiger
14278368,reviewed,no,tiger
14278368,name_base,Catalina Marie,tiger
14278368,name_type,Ave,tiger
14278376,name,Fairfield Avenue,regular
14278376,highway,service,regular
14278376,service,driveway,regular
14278376,cfcc,A41,tiger
14278376,county,"Clark, NV",tiger
14278376,name_base,Fairfield,tiger
14278376,name_type,Ave,tiger
14278393,name,Fairfield Avenue,regular
14278393,highway,residential,regular
14278393,cfcc,A41,tiger
14278393,county,"Clark, NV",tiger
14278393,reviewed,no,tiger
14278393,name_base,Fairfield,tiger
14278393,name_type,Ave,tiger
14278407,name,Riverboat Avenue,regular
14278407,highway,residential,regular
14278407,cfcc,A41,tiger
14278407,tlid,201869370,tiger
14278407,county,"Clark, NV",tiger
14278407,source,tiger_import_dch_v0.6_20070813,tiger
14278407,reviewed,no,tiger
14278407,name_base,Riverboat,tiger
14278407,name_type,Ave,tiger
14278407,separated,no,tiger
14278421,highway,service,regular
14278421,name,Amigo Court,regular
14278421,cfcc,A41,tiger
14278421,county,"Clark, NV",tiger
14278421,name_base,Amigo,tiger
14278421,name_type,Ct,tiger
14278421,reviewed,no,tiger
14278429,name,Calle de Espana,regular
14278429,highway,residential,regular
14278429,cfcc,A41,tiger
14278429,county,"Clark, NV",tiger
14278429,reviewed,no,tiger
14278429,name_base,Calle de Espana,tiger
14278489,highway,track,regular
14278489,cfcc,A51,tiger
14278489,county,"Clark, NV",tiger
14278489,reviewed,no,tiger
14278656,highway,track,regular
14278656,cfcc,A41,tiger
14278656,tlid,201946401:201946404:201946405,tiger
14278656,county,"Clark, NV",tiger
14278656,source,tiger_import_dch_v0.6_20070813,tiger
14278656,reviewed,no,tiger
14278656,separated,no,tiger
14278656,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14278802,gauge,1435,regular
14278802,railway,rail,regular
14278802,cfcc,B11,tiger
14278802,electrified,no,regular
14278802,county,"Clark, NV",tiger
14278976,highway,track,regular
14278976,cfcc,A41,tiger
14278976,tlid,202000275:201836874:201836882:201836786:201836788,tiger
14278976,county,"Clark, NV",tiger
14278976,source,tiger_import_dch_v0.6_20070813,tiger
14278976,reviewed,no,tiger
14278976,separated,no,tiger
14278976,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14279108,FIXME,are bikes allowed?,regular
14279108,oneway,yes,regular
14279108,highway,motorway_link,regular
14279108,cfcc,A63,tiger
14279108,destination,Town Center Drive,regular
14279108,county,"Clark, NV",tiger
14279108,reviewed,no,tiger
14279231,highway,residential,regular
14279231,cfcc,A41,tiger
14279231,tlid,201948826,tiger
14279231,county,"Clark, NV",tiger
14279231,source,tiger_import_dch_v0.6_20070813,tiger
14279231,reviewed,no,tiger
14279231,separated,no,tiger
14279231,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14279272,oneway,yes,regular
14279272,bicycle,no,regular
14279272,highway,motorway_link,regular
14279272,cfcc,A63,tiger
14279272,county,"Clark, NV",tiger
14279367,oneway,yes,regular
14279367,bicycle,no,regular
14279367,highway,motorway_link,regular
14279367,cfcc,A63,tiger
14279367,destination,CRaig Road,regular
14279367,county,"Clark, NV",tiger
14279367,reviewed,no,tiger
14279482,name,Airport Sht Term Park,regular
14279482,note,frontage,regular
14279482,name_1,Wayne Newton,regular
14279482,oneway,yes,regular
14279482,highway,service,regular
14279482,cfcc,A64,tiger
14279482,county,"Clark, NV",tiger
14279482,name_base,Airport Sht Term Park,tiger
14279482,name_type,Rd,tiger
14279482,name_base_1,Wayne Newton,tiger
14279482,name_direction_prefix,E,tiger
14279652,oneway,yes,regular
